title,text,label,source,date
NASA Mars Rover Discovers Ancient Lakebed Evidence,"NASA's Perseverance rover has uncovered geological evidence of an ancient lakebed on Mars. Chemical analyses of soil samples collected from the Jezero Crater confirm high concentrations of clay minerals and salts, indicating that liquid water persisted on the surface for thousands of years. Scientists believe this lakebed was once a habitable environment suitable for micro-organic life.",Real,Science Daily,2026-07-11
Solid-State Battery Breakthrough Doubles EV Range,"A major automotive research laboratory has successfully developed a prototype solid-state lithium battery. By replacing the liquid electrolyte with a proprietary sulfide-based ceramic material, the battery achieves double the energy density of current commercial cells. Road testing demonstrated a driving range of over 800 miles on a single charge with zero degradation after 500 charge cycles.",Real,MIT Technology Review,2026-07-10
REVEALED: Secret Alien Base Discovered on Dark Side of Moon,"In a shocking leak of classified documents, independent researchers claim that satellite imagery reveals a massive, active alien military installation on the far side of the moon. NASA is allegedly scrubbing public high-resolution lunar maps to cover up this extraterrestrial presence. The reports claim the base has been operating since the mid-1970s.",Fake,TruthBomb News,2026-07-09
New Immunotherapy Trial Shows Complete Lung Cancer Remission,"In a peer-reviewed study published in the Lancet today, clinical trials of a novel monoclonal antibody treatment showed a 100% remission rate in patients with advanced Stage IV non-small cell lung cancer. The drug works by binding to a specific cell receptor, unmasking the tumor cells and allowing the patient's own T-cells to aggressively attack the cancer.",Real,Reuters,2026-07-08
SECRET MEDICAL INDUSTRY HATES: Miracle Plant Extract Cures Cancer in 48 Hours,"A brave whistleblower from a top pharmaceutical firm has leaked files detailing a simple tropical leaf extract that completely dissolves cancer tumors within two days. Big pharma executives are allegedly threatening scientists to hide the compound, which grows in wild abundance, to protect their multi-billion dollar chemotherapy drug profits.",Fake,The Uncensored Daily,2026-07-07
Astronomers Discover Habitable Exoplanet in Nearby System,"Using the James Webb Space Telescope, astronomers have detected atmospheric water vapor, carbon dioxide, and methane on a rocky exoplanet orbiting within the habitable zone of a red dwarf star just 12 light-years away. The combination of gases is a strong biosignature indicating the presence of liquid surface oceans and potential life.",Real,Associated Press,2026-07-06
Elon Musk Announces Plan to Buy Moon and Build Cosmic Casino,"In a series of late-night social media posts, tech billionaire Elon Musk detailed a plan to acquire lunar land rights from international authorities, rename the celestial body to 'Doge Moon', and launch a fleet of luxury rockets carrying tourists to the solar system's first fully functional zero-gravity casino by 2030.",Fake,Secret Files Weekly,2026-07-05
Global Offshore Wind Capacity Grows by 30% This Year,"A report by the International Energy Agency shows that global offshore wind installations grew by a record-breaking 30% this year. The rapid scaling of wind farms in the North Sea and coastal East Asia has significantly displaced coal-fired power generation, cutting energy sector emissions by an estimated 150 million tons of carbon dioxide.",Real,Bloomberg,2026-07-04
SHOCKING REPORT: Government to Ban Coffee Next Week to Control Population,"Leaked memos from a secret task force reveal that federal regulators plan to outlaw the sale and consumption of coffee next week. Officials reportedly claim that caffeine withdrawal will make the general population more submissive and easier to track. The ban is scheduled to take effect nationwide on Monday morning.",Fake,Global Alert Network,2026-07-03
Quantum Computers Successfully Simulate Complex Chemical Bonds,"Biophysicists have successfully utilized a 1000-qubit quantum processor to simulate the folding process of a key respiratory protein. This marks the first time a quantum device has outperformed classical supercomputers in molecular simulation, opening the door to ultra-fast drug discovery and chemical engineering.",Real,Science Daily,2026-07-02
THE TRUTH IS OUT: Water Memory Formula Reverses Aging in Days,"A local researcher has synthesized a revolutionary structured water drink that 'remembers' youthful cellular frequencies. Clinical trials on mice showed that consuming the water reversed grey hair, wrinkles, and muscle degradation within a week. Major cosmetic brands are reportedly attempting to suppress the formula.",Fake,TruthBomb News,2026-07-01
Agricultural Drones Increase Crop Yields by Optimizing Water,"A study conducted across three major agricultural states shows that integrating multi-spectral drone surveillance increased soybean and corn crop yields by 15%. The drones monitor soil moisture levels in real-time, allowing automated irrigation systems to target specific water deficits, reducing resource waste by 25%.",Real,Reuters,2026-06-30
SCIENTIST PROVES: The Earth is a Giant Donut and Gravity is a Hologram,"In a self-published research paper, a former physics instructor claims that new astronomical data shows the Earth has a toroidal shape. The paper argues that the central hole is hidden from view by atmospheric light bending, and that gravity does not exist but is rather a holographic illusion projected by high-altitude satellites.",Fake,The Uncensored Daily,2026-06-29
Clinical Trials Confirm Compound Reduces Alzheimer Plaque by 40%,"Pharmaceutical researchers announced that their new drug candidate successfully removed 40% of beta-amyloid plaques in patients with early-stage Alzheimer's disease. The Phase III trial, which monitored 1500 participants over an 18-month period, showed a significant slowing of cognitive decline compared to the placebo group.",Real,Associated Press,2026-06-28
WARNING: Popular Smartphone Model Leaks Personal Thoughts to Server,"A cybersecurity researcher claims to have discovered a backdoor in the latest smartphone operating system that uses micro-voltage sensors in the touch screen to read users' thoughts. The paper alleges that a continuous stream of neural data is encrypted and sent to off-shore databases for artificial intelligence marketing research.",Fake,Global Alert Network,2026-06-27
